 Run	    Fitness	                                                                                                                                                                                                Solution	    Fitness	                                                                                                                                                                                           Next_Solution
  12	        265	00321900003219000032190000321900003219000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900	        254	0032189c001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  12	        254	0032189c001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900	        198	00000000000000000000000000000000000000000019190000000000000000000000000000000000001919000000000000000000000000000000000000321900000000000000000000000000000000000032190000321900000000000000000000000000
  12	        198	00000000000000000000000000000000000000000019190000000000000000000000000000000000001919000000000000000000000000000000000000321900000000000000000000000000000000000032190000321900000000000000000000000000	          4	0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c00191900001919000032189c0032189c0032189c00191900001919000032189c0032189c0032189c00191900001919000032189c0032189c0032189c
  12	          4	0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c00191900001919000032189c0032189c0032189c00191900001919000032189c0032189c0032189c00191900001919000032189c0032189c0032189c	          2	00001900000019000000190000001900000019000000190000001900001919000019190000001900000019000032189c0032189c0032189c00001900000019000032189c0032189c0032189c00001900000019000032189c0032189c0032189c0032189c
  12	          2	00001900000019000000190000001900000019000000190000001900001919000019190000001900000019000032189c0032189c0032189c00001900000019000032189c0032189c0032189c00001900000019000032189c0032189c0032189c0032189c	        271	00001900003219000032190000321900003219000019190000321900003219000032190000321900001919000019190000321900003219000032190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  13	        271	00001900003219000032190000321900003219000019190000321900003219000032190000321900001919000019190000321900003219000032190000191900001919000019190000191900001919000019190000191900001919000019190000191900	        269	00321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  13	        269	00321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000191900001919000019190000191900001919000019190000191900001919000019190000191900	        265	003219000032190000191900001919000019190000321900003219000019190000191900001919000032189c0032190000191900001919000019190000321900003219000019190000191900001919000032190000321900001919000019190000191900
  13	        265	003219000032190000191900001919000019190000321900003219000019190000191900001919000032189c0032190000191900001919000019190000321900003219000019190000191900001919000032190000321900001919000019190000191900	        262	00001900000019000000190000001900000019000019190000191900001919000019190000191900001919000019190000191900001919000019190000000000000000000000000000000000001919000000000000000000000000000000000000000000
  13	        262	00001900000019000000190000001900000019000019190000191900001919000019190000191900001919000019190000191900001919000019190000000000000000000000000000000000001919000000000000000000000000000000000000000000	        247	00000000000000000019190000321900003219000000000000191900001919000032190000321900000000000019190000191900003219000032190000000000000000000000000000191900001919000000000000000000000000000000000000000000
  13	        247	00000000000000000019190000321900003219000000000000191900001919000032190000321900000000000019190000191900003219000032190000000000000000000000000000191900001919000000000000000000000000000000000000000000	          1	00001900001919000019190000191900001919000019190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
  13	          1	00001900001919000019190000191900001919000019190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	        269	000019000032189c0032189c0032189c0032189c00191900001919000032189c0032189c0032189c0019190000191900001919000032189c0032189c00191900001919000019190000191900001919000019190000191900001919000019190000191900
  14	        269	000019000032189c0032189c0032189c0032189c00191900001919000032189c0032189c0032189c0019190000191900001919000032189c0032189c00191900001919000019190000191900001919000019190000191900001919000019190000191900	        265	00321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000019190000191900001919000019190000191900
  14	        265	00321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000019190000191900001919000019190000191900	        255	000019000032189c0032189c0032189c0032189c0000190000321900003219000032190000321900000019000032190000321900003219000032190000001900003219000032190000321900003219000000190000001900003219000032190000321900
  14	        255	000019000032189c0032189c0032189c0032189c0000190000321900003219000032190000321900000019000032190000321900003219000032190000001900003219000032190000321900003219000000190000001900003219000032190000321900	        151	0032189c0032189c0032189c00191900001919000032189c0032189c0032189c0032189c001919000032189c0032189c0032189c0032189c001919000032189c0032189c0032189c00191900001919000032189c0032189c001919000019190000191900
  14	        151	0032189c0032189c0032189c00191900001919000032189c0032189c0032189c0032189c001919000032189c0032189c0032189c0032189c001919000032189c0032189c0032189c00191900001919000032189c0032189c001919000019190000191900	        150	00001900000019000000190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900
  14	        150	00001900000019000000190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900	          2	0032189c0032189c0019190000191900001919000032189c0032189c0032189c00191900001919000032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c
  14	          2	0032189c0032189c0019190000191900001919000032189c0032189c0032189c00191900001919000032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c	        273	0032189c0032189c0032189c00001900000019000032189c0032189c0032189c0000190000001900001919000019190000191900000019000000190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  15	        273	0032189c0032189c0032189c00001900000019000032189c0032189c0032189c0000190000001900001919000019190000191900000019000000190000191900001919000019190000191900001919000019190000191900001919000019190000191900	        272	00001900000019000000190000001900000019000032190000321900003219000032190000321900003219000032190000321900003219000032190000191900001919000019190000191900001919000019190000191900001919000019190000191900
