 Run	    Fitness	                                                                                                                                                                                                Solution
  13	          1	00001900001919000019190000191900001919000019190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
  14	        269	000019000032189c0032189c0032189c0032189c00191900001919000032189c0032189c0032189c0019190000191900001919000032189c0032189c00191900001919000019190000191900001919000019190000191900001919000019190000191900
  14	        265	00321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000019190000191900001919000019190000191900
  14	        255	000019000032189c0032189c0032189c0032189c0000190000321900003219000032190000321900000019000032190000321900003219000032190000001900003219000032190000321900003219000000190000001900003219000032190000321900
  14	        151	0032189c0032189c0032189c00191900001919000032189c0032189c0032189c0032189c001919000032189c0032189c0032189c0032189c001919000032189c0032189c0032189c00191900001919000032189c0032189c001919000019190000191900
  14	        150	00001900000019000000190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900
  14	          2	0032189c0032189c0019190000191900001919000032189c0032189c0032189c00191900001919000032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c
  15	        273	0032189c0032189c0032189c00001900000019000032189c0032189c0032189c0000190000001900001919000019190000191900000019000000190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  15	        272	00001900000019000000190000001900000019000032190000321900003219000032190000321900003219000032190000321900003219000032190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  15	        272	000019000032189c0032189c0032189c0032189c0032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000019190000191900001919000019190000191900
  15	        158	00001900000019000000190000001900000019000019190000001900000019000000190000001900001919000019190000191900000019000000190000191900001919000019190000001900000019000019190000191900001919000000190000001900
  15	         39	00191900001919000019190000191900003219000019190000191900001919000032190000321900001919000019190000321900003219000032190000191900001919000032190000321900003219000019190000191900003219000032190000321900
  15	          4	00001900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000191900000019000000190000001900000019000019190000191900000019000000190000001900
  16	        205	000019000032189c0032189c0032189c0032189c0032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900
  16	        141	00001900000019000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900
  16	        129	00001900000019000000190000001900000019000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900
  16	          9	00001900000019000000190000001900000019000032190000321900000019000000190000001900003219000032190000001900000019000000190000321900003219000000190000001900000019000032190000321900000019000000190000001900
  16	          8	0032189c000019000000190000001900000019000032189c00001900000019000000190000001900003219000000190000001900000019000000190000321900000019000000190000001900000019000032190000321900000019000000190000001900
  16	        -67	00000000000000000000000000000000000000000000000000000000000000000000000000000000003219000000000000000000000000000000000000321900000000000000000000000000000000000032190000321900000000000000000000000000
  17	        270	00191900000019000000190000001900001919000019190000001900000019000000190000191900001919000000190000001900000019000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  17	        238	00001900000019000000190000001900000019000032190000321900003219000032190000001900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900
  17	        152	0032189c001919000019190000191900001919000032190000321900003219000019190000191900003219000032190000321900003219000032190000321900003219000032190000321900003219000000190000001900003219000032190000321900
  17	         71	00321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000000000003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900
  17	          6	00321900001919000019190000191900001919000000190000001900001919000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900
  17	          1	00321900003219000000190000001900000019000032189c0032189c0032189c00001900000019000032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c0032189c
  18	        272	00191900001919000019190000191900001919000019190000001900003219000019190000191900001919000032190000321900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  18	        255	00001900000019000000190000001900000019000032190000321900000019000000190000001900003219000032190000321900003219000000190000321900003219000032190000321900003219000032190000321900003219000032190000321900
  18	        172	00191900000000000000000000000000000000000019190000191900000000000000000000000000001919000032190000321900003219000000000000321900003219000032190000321900000000000032190000321900003219000032190000321900
  18	        168	00321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000191900003219000032190000321900003219000019190000321900003219000032190000321900003219000032190000321900
  18	        110	00321900003219000032190000321900003219000032190000000000000000000000000000321900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
  18	          2	00191900000019000000190000001900001919000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900000019000000190000001900
  19	        262	00191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000000000001919000019190000191900001919000000000000191900001919000019190000191900001919000019190000191900
  19	        257	00191900001919000000190000191900001919000019190000321900003219000032190000191900003219000032190000321900003219000032190000191900003219000032190000321900001919000019190000321900003219000032190000191900
  19	        252	00191900001919000019190000191900001919000019190000321900003219000032190000191900003219000032190000321900003219000032190000191900003219000032190000321900001919000019190000191900003219000019190000191900
  19	        247	00001900000019000000190000001900000019000032190000001900000019000000190000001900003219000032190000321900000019000000190000321900003219000032190000321900000019000032190000321900003219000032190000321900
  19	        191	00000000000000000000000000000000000000000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900
  19	        153	00191900001919000019190000191900001919000019190000321900003219000032190000191900003219000032190000321900003219000019190000321900003219000032190000321900003219000032190000321900003219000032190000191900
  20	        273	0032189c0032189c0032189c0032189c0032189c0032189c0019190000191900001919000032189c001919000019190000191900001919000019190000191900001919000019190000191900001919000032189c0019190000191900001919000032189c
  20	        268	00191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000321900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  20	        208	003219000032190000321900003219000032190000321900003219000032190000321900003219000032189c003219000032190000321900003219000032189c0032189c0032189c00321900003219000032189c0032189c0032189c0032189c00321900
  20	        196	00191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000000000001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  20	        189	00321900003219000032190000321900003219000032190000321900003219000032190000321900003219000000000000000000000000000032190000000000000000000000000000000000000000000000000000000000000000000000000000000000
  20	          4	0032189c0032189c0032189c0032189c0032189c0032189c0032189c000000000032189c0032189c0032189c0019190000000000001919000032189c0032189c0032189c001919000032189c0032189c0032189c0032189c0032189c0032189c0032189c
  21	        271	00191900001919000019190000001900000019000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  21	        269	00191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000001900
  21	        243	00191900001919000019190000001900000019000019190000191900001919000019190000001900001919000019190000191900001919000019190000191900001919000019190000191900001919000000000000191900001919000019190000000000
  21	        226	0032189c003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900
  21	        202	00321900000019000000190000001900000019000032190000191900001919000000190000001900000000000019190000191900001919000000190000000000001919000019190000191900000019000000000000321900001919000019190000001900
  21	         92	00321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000000000000000000000000000000000000000000
  22	        269	00191900001919000019190000191900001919000000190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900003219000032190000321900
  22	        253	00321900001919000019190000001900000019000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900
  22	        235	0032189c0032189c001919000032189c0032189c0019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000019190000191900001919000000000000191900001919000019190000000000
  22	         72	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003219000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
  22	         22	00321900003219000000190000001900000019000032190000001900000019000000190000001900003219000000000000001900000019000000190000321900000000000000190000001900000019000032190000000000000019000000190000001900
  22	          6	00321900003219000032189c0032189c0032189c0032190000321900001919000019190000191900003219000032190000001900001919000019190000321900003219000019190000191900001919000032190000321900003219000019190000191900
