 Run	    Fitness	                                                                                                                                                                                                Solution	    Fitness	                                                                                                                                                                                           Next_Solution
  18	        275	0019190000000000000019000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000019190000321900000000000032189c00001900001919000032189c00191900000000000000000000001900	        265	00000000000019000032189c0032189c00191900001919000032189c0032190000001900000000000032189c0000000000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900
  18	        265	00000000000019000032189c0032189c00191900001919000032189c0032190000001900000000000032189c0000000000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900	        264	0019190000001900000019000000000000191900000000000032189c00000000000019000000190000000000001919000032189c000000000019190000321900000019000032190000191900003219000032189c0032189c000019000019190000001900
  18	        264	0019190000001900000019000000000000191900000000000032189c00000000000019000000190000000000001919000032189c000000000019190000321900000019000032190000191900003219000032189c0032189c000019000019190000001900	        277	00000000000019000032189c0032189c00191900000000000032189c0032190000001900000000000032189c0000000000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900
  19	        277	00000000000019000032189c0032189c00191900000000000032189c0032190000001900000000000032189c0000000000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900	        276	00000000000019000032189c0019190000191900000000000032189c0032190000001900000000000032189c0000190000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900
  19	        276	00000000000019000032189c0019190000191900000000000032189c0032190000001900000000000032189c0000190000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900	        275	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900
  19	        275	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900	        275	0019190000000000000019000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000019190000321900000000000032189c00001900001919000032189c00191900000000000000000000001900
  19	        275	0019190000000000000019000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000019190000321900000000000032189c00001900001919000032189c00191900000000000000000000001900	        220	000000000000000000001900000000000019190000000000001919000019190000321900001919000000000000000000000019000019190000001900001919000000190000321900003219000032189c0000000000000000000000000000000000000000
  19	        220	000000000000000000001900000000000019190000000000001919000019190000321900001919000000000000000000000019000019190000001900001919000000190000321900003219000032189c0000000000000000000000000000000000000000	        204	00000000000019000032189c0032190000191900000000000032189c0000000000001900000000000032189c00001900003219000032189c003219000019190000001900003219000019190000000000003219000032189c00000000000019000032189c
  19	        204	00000000000019000032189c0032190000191900000000000032189c0000000000001900000000000032189c00001900003219000032189c003219000019190000001900003219000019190000000000003219000032189c00000000000019000032189c	        277	00000000000019000032189c0032189c00191900000000000032189c0032190000001900000000000032189c0000000000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900
  20	        277	00000000000019000032189c0032189c00191900000000000032189c0032190000001900000000000032189c0000000000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900	        276	00000000000019000032189c0019190000191900000000000032189c0032190000001900000000000032189c0000190000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900
  20	        276	00000000000019000032189c0019190000191900000000000032189c0032190000001900000000000032189c0000190000321900000000000032190000321900000019000032190000191900003219000000000000001900000000000000000000321900	        275	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900
  20	        275	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900	        273	00000000000019000032189c0032189c00191900000000000032189c0032190000001900000000000032189c00000000003219000000190000321900003219000032189c0032190000191900003219000000000000001900000000000000000000321900
  20	        273	00000000000019000032189c0032189c00191900000000000032189c0032190000001900000000000032189c00000000003219000000190000321900003219000032189c0032190000191900003219000000000000001900000000000000000000321900	        270	0019190000000000000000000000000000001900003219000032189c003219000032190000001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900
  20	        270	0019190000000000000000000000000000001900003219000032189c003219000032190000001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900	        259	00001900003219000000190000001900000000000000190000321900000000000000190000321900000019000000000000001900000000000019190000191900000000000032189c0000190000321900003219000000000000000000001919000032189c
  20	        259	00001900003219000000190000001900000000000000190000321900000000000000190000321900000019000000000000001900000000000019190000191900000000000032189c0000190000321900003219000000000000000000001919000032189c	        275	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900
   3	        275	0019190000000000000000000000000000001900003219000032189c003219000032189c00001900000019000019190000191900000000000019190000321900000000000019190000001900001919000032189c00191900000000000000190000191900	        275	0019190000000000000019000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000019190000321900000000000032189c00001900001919000032189c00191900000000000000000000001900
   3	        275	0019190000000000000019000000000000001900003219000032189c003219000032189c00001900000019000019190000191900003219000019190000321900000000000032189c00001900001919000032189c00191900000000000000000000001900	        275	00000000000019000032189c0032189c00321900000000000032189c0032190000000000000000000032189c0000000000321900000000000032190000321900000019000032190000191900001919000000000000001900000000000000000000321900
   3	        275	00000000000019000032189c0032189c00321900000000000032189c0032190000000000000000000032189c0000000000321900000000000032190000321900000019000032190000191900001919000000000000001900000000000000000000321900	        267	0032189c00001900000000000032189c00321900000000000032189c003219000032189c000000000032189c0000000000321900000000000000000000321900000019000032190000191900001919000000000000001900000000000000000000321900
