Run,Fitness,Blocks
12,1.978692055,0 0 0 0 0 16448 0 0 0 0 16448 0 0 0 0 32832 0 0 0 0 32832 32832 0 0 0
12,0.043764841,32831 32831 32831 32831 32831 32831 32831 32831 32831 32831 16448 16448 32831 32831 32831 16448 16448 32831 32831 32831 16448 16448 32831 32831 32831
12,0.016108731,64 64 64 64 64 64 64 16448 16448 64 64 32831 32831 32831 64 64 32831 32831 32831 64 64 32831 32831 32831 32831
13,2.709205151,64 32832 32832 32832 32832 16448 32832 32832 32832 32832 16448 16448 32832 32832 32832 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
13,2.691102982,32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
13,2.651292801,32832 32832 16448 16448 16448 32832 32832 16448 16448 16448 32831 32832 16448 16448 16448 32832 32832 16448 16448 16448 32832 32832 16448 16448 16448
13,2.617247105,64 64 64 64 64 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 0 0 0 0 16448 0 0 0 0 0
13,2.467041492,0 0 16448 32832 32832 0 16448 16448 32832 32832 0 16448 16448 32832 32832 0 0 0 16448 16448 0 0 0 0 0
13,0.01491406,64 16448 16448 16448 16448 16448 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,2.69495368,64 32831 32831 32831 32831 16448 16448 32831 32831 32831 16448 16448 16448 32831 32831 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
14,2.651875496,32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 16448 16448 16448 16448 16448
14,2.548252106,64 32831 32831 32831 32831 64 32832 32832 32832 32832 64 32832 32832 32832 32832 64 32832 32832 32832 32832 64 64 32832 32832 32832
14,1.513929844,32831 32831 32831 16448 16448 32831 32831 32831 32831 16448 32831 32831 32831 32831 16448 32831 32831 32831 16448 16448 32831 32831 16448 16448 16448
14,1.496843815,64 64 64 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832
14,0.01913227,32831 32831 16448 16448 16448 32831 32831 32831 16448 16448 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831 32831
15,2.725288391,32831 32831 32831 64 64 32831 32831 32831 64 64 16448 16448 16448 64 64 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
15,2.724320173,64 64 64 64 64 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
15,2.72161603,64 32831 32831 32831 32831 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 16448 16448 16448 16448 16448
15,1.577040195,64 64 64 64 64 16448 64 64 64 64 16448 16448 16448 64 64 16448 16448 16448 64 64 16448 16448 16448 64 64
15,0.39094466,16448 16448 16448 16448 32832 16448 16448 16448 32832 32832 16448 16448 32832 32832 32832 16448 16448 32832 32832 32832 16448 16448 32832 32832 32832
15,0.041415311,64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 16448 64 64 64 64 16448 16448 64 64 64
16,2.048226118,64 32831 32831 32831 32831 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832
16,1.408634424,64 64 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832
16,1.28670752,64 64 64 64 64 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832
16,0.094996154,64 64 64 64 64 32832 32832 64 64 64 32832 32832 64 64 64 32832 32832 64 64 64 32832 32832 64 64 64
16,0.083736852,32831 64 64 64 64 32831 64 64 64 64 32832 64 64 64 64 32832 64 64 64 64 32832 32832 64 64 64
16,-0.672047496,0 0 0 0 0 0 0 0 0 0 32832 0 0 0 0 32832 0 0 0 0 32832 32832 0 0 0
